theme,rule,value
tomorrow_night_bright,comment,#969896
tomorrow_night_bright,const_lang,#E78C45
tomorrow_night_bright,background,#000000
tomorrow_night_bright,base_text,#DEDEDE
tomorrow_night_bright,keyword,#C397D8
tomorrow_night_bright,operator,#70C0B1
tomorrow_night_bright,string,#B9CA4A
tomorrow_night_eighties,comment,#999999
tomorrow_night_eighties,const_lang,#F99157
tomorrow_night_eighties,background,#2D2D2D
tomorrow_night_eighties,base_text,#CCCCCC
tomorrow_night_eighties,keyword,#CC99CC
tomorrow_night_eighties,operator,#66CCCC
tomorrow_night_eighties,string,#99CC99
twilight,comment,#5F5A60
twilight,const_lang,#CF6A4C
twilight,background,#141414
twilight,base_text,#F8F8F8
twilight,keyword,#CDA869
twilight,operator,#7587A6
twilight,string,#8F9D6A
vibrant_ink,comment,#9933CC
vibrant_ink,const_lang,#339999
vibrant_ink,background,#0F0F0F
vibrant_ink,base_text,#FFFFFF
vibrant_ink,keyword,#FF6600
vibrant_ink,operator,#AAAAAA
vibrant_ink,string,#66FF00
xcode,comment,#008E00
xcode,const_lang,#C800A4
xcode,background,#FFFFFF
xcode,base_text,#000000
xcode,keyword,#C800A4
xcode,operator,#888888
xcode,string,#DF0002
